epoch[24](4000/6512): loss: 0.09896097	MAE: 0.099	PSNR: 30.260	SSIM: 0.907	SAM: 5.552
epoch[24](6000/6512): loss: 0.07899457	MAE: 0.086	PSNR: 30.705	SSIM: 0.974	SAM: 3.469
epoch[25](2000/6512): loss: 0.34346145	MAE: 0.214	PSNR: 24.149	SSIM: 0.859	SAM: 9.144
epoch[25](4000/6512): loss: 0.02470845	MAE: 0.026	PSNR: 41.621	SSIM: 0.997	SAM: 1.365
epoch[25](6000/6512): loss: 0.09566108	MAE: 0.117	PSNR: 28.173	SSIM: 0.806	SAM: 11.377
epoch[26](2000/6512): loss: 0.20740734	MAE: 0.126	PSNR: 28.815	SSIM: 0.948	SAM: 6.695
epoch[26](4000/6512): loss: 0.07657537	MAE: 0.068	PSNR: 32.917	SSIM: 0.947	SAM: 4.725
epoch[26](6000/6512): loss: 0.09423149	MAE: 0.134	PSNR: 27.757	SSIM: 0.838	SAM: 7.207
epoch[27](2000/6512): loss: 0.05423460	MAE: 0.050	PSNR: 33.649	SSIM: 0.981	SAM: 2.639
epoch[27](4000/6512): loss: 0.03937680	MAE: 0.043	PSNR: 36.938	SSIM: 0.985	SAM: 2.490
epoch[27](6000/6512): loss: 0.06141170	MAE: 0.101	PSNR: 29.028	SSIM: 0.941	SAM: 5.096
epoch[28](2000/6512): loss: 0.10225023	MAE: 0.077	PSNR: 32.570	SSIM: 0.957	SAM: 4.529
epoch[28](4000/6512): loss: 0.04392714	MAE: 0.045	PSNR: 37.240	SSIM: 0.987	SAM: 2.159
epoch[28](6000/6512): loss: 0.05447252	MAE: 0.117	PSNR: 27.899	SSIM: 0.865	SAM: 7.019
epoch[29](2000/6512): loss: 0.04948684	MAE: 0.076	PSNR: 32.631	SSIM: 0.953	SAM: 4.804
epoch[29](4000/6512): loss: 0.09281196	MAE: 0.083	PSNR: 30.747	SSIM: 0.915	SAM: 5.820
epoch[29](6000/6512): loss: 0.05213071	MAE: 0.057	PSNR: 35.570	SSIM: 0.979	SAM: 2.632
epoch[30](2000/6512): loss: 0.03972877	MAE: 0.041	PSNR: 37.336	SSIM: 0.992	SAM: 1.581
epoch[30](4000/6512): loss: 0.36457503	MAE: 0.182	PSNR: 26.524	SSIM: 0.599	SAM: 10.416
epoch[30](6000/6512): loss: 0.05573489	MAE: 0.054	PSNR: 35.274	SSIM: 0.975	SAM: 3.356
epoch[31](2000/6512): loss: 0.04489613	MAE: 0.023	PSNR: 43.710	SSIM: 0.999	SAM: 0.436
epoch[31](4000/6512): loss: 0.12029061	MAE: 0.064	PSNR: 34.486	SSIM: 0.980	SAM: 5.026
epoch[31](6000/6512): loss: 0.06730670	MAE: 0.034	PSNR: 40.647	SSIM: 0.998	SAM: 0.793
epoch[32](2000/6512): loss: 0.10286505	MAE: 0.051	PSNR: 37.454	SSIM: 0.972	SAM: 2.912
epoch[32](4000/6512): loss: 0.11930846	MAE: 0.072	PSNR: 32.098	SSIM: 0.956	SAM: 4.052
epoch[32](6000/6512): loss: 0.08402328	MAE: 0.068	PSNR: 32.821	SSIM: 0.945	SAM: 4.494
epoch[33](2000/6512): loss: 0.03882346	MAE: 0.040	PSNR: 37.335	SSIM: 0.984	SAM: 2.419
epoch[33](4000/6512): loss: 0.03245169	MAE: 0.050	PSNR: 37.493	SSIM: 0.976	SAM: 2.034
epoch[33](6000/6512): loss: 0.18477923	MAE: 0.096	PSNR: 31.127	SSIM: 0.944	SAM: 3.706
epoch[34](2000/6512): loss: 0.09249917	MAE: 0.098	PSNR: 30.024	SSIM: 0.911	SAM: 4.593
epoch[34](4000/6512): loss: 0.04480611	MAE: 0.050	PSNR: 36.318	SSIM: 0.978	SAM: 3.036
epoch[34](6000/6512): loss: 0.06532373	MAE: 0.033	PSNR: 41.396	SSIM: 0.998	SAM: 0.662
epoch[35](2000/6512): loss: 0.24520484	MAE: 0.123	PSNR: 29.123	SSIM: 0.863	SAM: 5.922
epoch[35](4000/6512): loss: 0.09087879	MAE: 0.066	PSNR: 35.343	SSIM: 0.996	SAM: 0.754
epoch[35](6000/6512): loss: 0.08352764	MAE: 0.053	PSNR: 36.485	SSIM: 0.922	SAM: 3.461
epoch[36](2000/6512): loss: 0.02901418	MAE: 0.030	PSNR: 40.054	SSIM: 0.995	SAM: 1.289
epoch[36](4000/6512): loss: 0.05361778	MAE: 0.066	PSNR: 34.962	SSIM: 0.960	SAM: 3.361
